Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,33.181818,26.5,33,233,140,255,223,142,344,108,38.8,32,34.7,14.4,79.1,12.8,57.2,135,179.6,241.3,254.8,304.8,292.9,292.7,354.9,351.4,622.700032,352.2
El Salvador,,,,,,,6.4,14.76,20.88,24.12,9.12,2.08,6.8,6.8,7.28,3.44,0.55645436,0.52,3.7,4.04,2.8036019,2.3825364,0.35881591,0.2298188,0.11456394,,1.4848658,,0.34266134,7.2,19.6,26.1,22.1,24.8,32.8,24,27.98,27.53,18.5,20.033,22.092947,27.19239003,26.89727814,27.67816554,51.0517282,74.340146,147.466076
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.3314093,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1987748,1.2656912,1.3095576,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,0.320204416,0.180915532,0.75994536,3.48954861,2.19288053,4.57659423,3.1522812,3.3589214,3.0382264,2.23740498,4.758523,18.5391541,26.462866,50.40494381,75.42194822,92.62725009,97.91199254,92.35336673,123.301893,113.4658734,113.2065822,100.2960716,113.8537956,90.268534,122.676356
Ethiopia,,,,,,,,2.41545898,0.9178744,0.6763285,0.57971015,0.6763285,0.28985507,0.48309179,0.33816425,0.82125604,0.53140097,0.86956521,0.434782607,0.869565217,,0.38647343,0.7363285,0.42,0.3491586,0.24360357,1.08458509,5.2375725,4.25955484,3.4490044,12.556901,14.023478,16.578458,17.26699986,9.2237448,16.39950105,14.13104159,14.56767284,21.30398975,26.54956524,66.31163901,20.98163332,21.77951921,,,14.437634,29.86954
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,6.15,5.74,13.41,9.64,5.11,5.3342674,18.33538656,23.41769647,33.37120565,41.01765055,31.36311766,31.02907716,34.40421483,,,,,
Fiji,,,,,,,,,,9.8834182,10.34274501,12.321171,8.1505827,8.672393,8.2209749,11.009453,14.123473,13.667151,12.165634,21.101124,21.540834,25.278581,22.08929,23.28485,28.412875,29.509362,40.048457,36.365525,37.597832,40.413784,25.57082966,23.6604282,19.7686064,26.2569391,41.982226,7.870730217,9.760247869,9.143560268,12.8729735,7.166443221,9.632095817,10.52142644,8.225960659,8.4694411,10.66046084,9.09367325,
Finland,,,,,,6.7929732,8.2807235,11.6407833,13.1516286,13.1360228,14.7490962,12.016345,12.2888732,12.3843946,11.1459523,12.3764218,6.3168622,7.2879223,9.5743968,5.5935056,15.7209,58.52876,34.072172,35.023239,41.520259,54.089789,54.874347,88.702318,104,111,99.717315,96.682238,113,149,225,266.3593466,436.6686901,553.417171,684.9775489,686.1453073,721.0107184,444.9187235,774.7294461,835.0737302,761.7885962,635.96256,634.408256
France,,,,,,2503,2530,2770,3670,4380,5070,4670,4340,4110,3840,4170,5150,5760,6393,5571,6956,7020,8154,7429,4282,4941,4464,4000,4230,4080,3770,3950,3810,4390,4260,9474.864508,10281.27391,11947.22637,13269.07155,11757.10561,12029.05395,12849.11942,12565.63151,13425.17037,13716.67517,12441.09811,12527.64762
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.350469,51.394109,46.147167,46.97095005,50.93430535,55.73052878,69.47201725,64.30203718,70.54781923,55.74846295,58.21454952,63.3754906,30.26685324,,
Gabon,,,,,,,,,69.973809,141,143.5206372,83.5751618,78.81773367,92.1362617,88.95619,103.8903472,165.1550482,146.6636911,153.6115591,128.2601033,147.3056056,117.8358044,145.4001809,196.8846941,156.161365,99.226998,113.292395,104.15657,89.190341,84.706958,77.579832,95.900828,96.449265,115.6710224,110.298458,185.5941469,,,,,,,,,,,
"Gambia, The",,,,,,,,,2.53626366,2.63183567,,,1.72089215,1.29236445,,,,,,,,,,,,,,,,,,,,0.52610349,0.52214307,0.742945864,0.946706347,14.64073187,3.185323546,8.412067919,58.1190882,36.56288209,47.58989951,,,20.2885735,18.757991
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,10.6,46.5,25.0889668,24.2286785,26.1403508,29.3179429,25.8960135,27.10735243,26.74126759,31.69914319,50.97989957,33.60906911,55.13216564,76.80046359,86.73244305,87.71448775,86.13111008,95.862424,100.4924035
Germany,,2237,2726,3687,4020,4094,4171,4260,5190,5720,5826,4794,4481,4291,4042,3601,4632,5534,5872,5485,6854,6895,8586,8513,9279,11356,11029,9885,9503,10520,9039,9445,10403,11886,13003,12707.9028,12697.36992,14084.23045,15231.56451,15322.97895,14682.90921,16116.35975,15587.63232,19948.85323,21280.30531,19170.05696,20680.75162
Ghana,,,,,,,,,,15.68196,9.4,9.9,6.2,12.5,13.9,10.9,3.6,3.2,3.3,3.5,3.9,4.6,4,4,4.7,4.7994,5,5.4,5.6,5.9,6.0895129,6.3992,,,,,,,,,,,7.99,4.84,8.94203167,2607.106304,
Greece,,,,,,,45,55,55,59,59,65,64,77,58,45,60,77,95,118,122,118,173,250,222,300,319,342,,631,546,536,412,380,497,902.4384327,981.9394861,1459.758668,1911.719248,1842.956259,1932.272324,1940.511771,1437.901255,1291.125436,1424.002782,974.84224,718.23928
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,2.6,5.2,5.1,4.3,,,6.8888889,7.2962963,7.51851851,0.11111111,1.285185226,1.029629622,1.396296319,1.396296319,1.396296319,1.470370326,,2.459259222,2.674074092,2.85925924,3.2962963,3.2518518,3.2518518,3.2518518,3.2518518,1.422548148,1.476888889,1.59504,1.795856296,1.496148148,1.511708148,1.55440963,1.600109259,1.6651463,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
